AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
267523.4,2032.561,1515,1655,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
611359.68,2967.115,1516,1656,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
926596.93,3645.956,1517,1657,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
324334.46,2156.101,1518,1658,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
6552348,12999.068,1519,1659,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
250917.59,1876.77,1520,1660,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
265150.71,1977.599,1521,1661,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
278074.9,2058.734,1522,1662,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
297378,2061.816,1523,1663,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
323018.06,2140.081,1524,1664,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
338354.34,2213.263,1525,1665,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
